Orders Report,,,,,,,,,
"Orders Report from Sep 12, 2025 at 12:00 AM EDT to Sep 13, 2025 at 12:00 AM EDT",,,,,,,,,
"Sales Channels: OLD - PINE HILL FARM WELLNESS, PINE HILL FARM WELLNESS, Shopventory Invoicing",,,,,,,,,
All Orders,,,,,,,,,
Locations: Watertown,,,,,,,,,
,,,,,,,,,
Order,Location,Order Total,Total Discounts,Refunds,Gross Sales Tax,Net COGS,Net Profit,Net Sales,Net Profit Margin
6JRZX3ZC7TBEW,Watertown,120,,,,80,40,120,33.33%
TVM2TPNEXDMRR,Watertown,5,,,,1,4,5,80%
74MF05V89EC4E,Watertown,181.93,,,5.99,92.94,83,175.94,47.18%
WDHZT4NZAJJ06,Watertown,,-4.49,,,2.58,-2.58,,
30J7QDHEG452Y,Watertown,117.08,,,3.19,46.95,66.94,113.89,58.78%
Z08PFCFY9MH4C,Watertown,27.42,,,1.43,13.75,12.24,25.99,47.10%
816AF494X2H6E,Watertown,29.49,,,1.54,16.48,11.47,27.95,41.04%
C0FF70QNEZ4M4,Watertown,131.42,-2.65,,6.85,51.88,57.09,124.57,45.83%
WDG9K87EK8D8M,Watertown,4.74,,,0.25,2.58,1.91,4.49,42.54%
S3K1CXP6NSAPM,Watertown,74.83,,,3.9,28.5,42.43,70.93,59.82%
MHMAJRV2C5652,Watertown,20.4,,,0.41,9.11,3.39,19.99,16.96%
G8ANCZ9A5DY4C,Watertown,,-21.99,,,3.6,-3.6,,
1QS5W5WEFNBFC,Watertown,130.08,,,6.78,39.03,49.29,123.3,39.98%
QWRPHSC2CE312,Watertown,117.12,,,3.19,46.95,66.98,113.93,58.79%
5XMJE1WWWA5DE,Watertown,26.36,,,1.37,14.4,10.59,24.99,42.38%
8MVGVCN3V2PBA,Watertown,21.62,,,1.13,13.15,7.34,20.49,35.82%
JHXME5FNSM8JW,Watertown,35.99,,,,17.49,18.5,35.99,51.40%
K1TX74FDRZCJ0,Watertown,7.39,,,0.39,,,7,
YY99QT74SV8DG,Watertown,30.12,-5.15,,1.57,4.95,3,28.55,10.51%
WY3FA4XEM2ZEJ,Watertown,,-13.47,,,7.74,-7.74,,
6RTXANR6ZQMS0,Watertown,24.74,,,1.29,8.2,15.25,23.45,65.03%
0PXEM92G18E92,Watertown,136.73,,,0.77,62.43,68.53,135.96,50.40%
4TB8WDZRMD9FG,Watertown,32.99,,,,16.45,16.54,32.99,50.14%
RZJ68A9VDGJHP,Watertown,25.99,-2,,,13.6,12.39,25.99,47.67%
12D889BNSWBD4,Watertown,58.98,-5,,,30.65,28.33,58.98,48.03%
ZGCFXCGASD8D4,Watertown,6.98,-6.63,,0.36,10.65,-4.03,6.62,-60.88%
BGH1AWN0S3SYE,Watertown,26.38,,,1.38,2.5,2.5,25,10%
B2Z8FDA47FHYE,Watertown,64.51,-6.79,,3.36,23.81,37.34,61.15,61.06%
Z8SF2EK67EZ58,Watertown,37.05,-8.78,,1.93,20,15.12,35.12,43.05%
3Q0428KZHBA0R,Watertown,67.24,-15,,3.3,,,63.94,
R6DWPWCH8FATR,Watertown,12.9,-1.4,,0.31,8.67,3.92,12.59,31.14%
Total,,"1,575.48",-93.35,,50.69,690.04,660.14,"1,524.79",
,,,,,,,,,
,,,,,,,,,
Drive your business forward with data using Thrive.,,,,,,,,,
